sr,nsecode,name,bsecode,per_chg,close,volume,date,time
1,MARUTI,Maruti Suzuki India Limited,532500,2.13,13101.4,990908,2024-07-10,10:36:11
2,BRITANNIA,Britannia Industries Limited,500825,1.43,5749.9,166125,2024-07-10,10:36:11
3,EICHERMOT,Eicher Motors Limited,505200,0.3,4843.05,404581,2024-07-10,10:36:11
4,POLYMED,Poly Medicure Limited,531768,0.22,2148.75,74704,2024-07-10,10:36:11
5,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,504973,1.96,1474.3,846290,2024-07-10,10:36:11
6,METROBRAND,Metro Brands Ltd,543426,2.74,1310.15,190498,2024-07-10,10:36:11
7,KPIL,Kalpataru Projects International Ltd,522287,0.38,1308.5,1076528,2024-07-10,10:36:11
8,RVNL,Rail Vikas Nigam Ltd,542649,6.49,578.0,91856783,2024-07-10,10:36:11
9,GMDCLTD,Gujarat Mineral Development Corporation Limited,532181,0.9,417.0,3183394,2024-07-10,10:36:11
10,BLS,Bls International Services Limited,540073,0.69,380.05,5640386,2024-07-10,10:36:11
