sr,nsecode,name,bsecode,per_chg,close,volume,date,time
1,ABB,Abb India Limited,500002,-1.36,8473.9,39389,2024-07-10,10:36:15
2,SIEMENS,Siemens Limited,500550,-1.39,7655.85,48911,2024-07-10,10:36:15
3,POLYCAB,Polycab India Ltd,542652,-1.37,6366.05,133128,2024-07-10,10:36:15
4,INDIGO,Interglobe Aviation Limited,539448,-2.11,4214.25,124983,2024-07-10,10:36:15
5,ESCORTS,Escorts Limited,500495,-1.74,4089.9,39137,2024-07-10,10:36:15
6,CUMMINSIND,Cummins India Limited,500480,-0.95,3948.1,83062,2024-07-10,10:36:15
7,ADANIENT,Adani Enterprises Limited,512599,-0.73,3088.1,199120,2024-07-10,10:36:15
8,M&M,Mahindra & Mahindra Limited,500520,-6.56,2733.5,3986624,2024-07-10,10:36:15
9,SHRIRAMFIN,Shriram Finance Ltd,511218,-2.42,2724.35,353881,2024-07-10,10:36:15
10,BHARATFORG,Bharat Forge Limited,500493,-3.01,1621.45,134142,2024-07-10,10:36:15
11,COROMANDEL,Coromandel International Limited,506395,-2.1,1576.75,87984,2024-07-10,10:36:15
12,ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,-0.52,1470.35,711813,2024-07-10,10:36:15
13,INDUSINDBK,Indusind Bank Limited,532187,-0.72,1423.95,1150092,2024-07-10,10:36:15
14,TATACHEM,Tata Chemicals Limited,500770,-2.9,1051.4,690460,2024-07-10,10:36:15
15,CONCOR,Container Corporation Of India Limited,531344,-1.7,1022.6,406266,2024-07-10,10:36:15
16,JINDALSTEL,Jindal Steel & Power Limited,532286,-2.15,999.9,387436,2024-07-10,10:36:15
17,SBIN,State Bank Of India,500112,-1.72,846.5,6010040,2024-07-10,10:36:15
