sr,nsecode,name,bsecode,per_chg,close,volume,date,time
1,BRITANNIA,Britannia Industries Limited,500825,1.36,5745.9,164946,2024-07-10,10:36:13
2,EICHERMOT,Eicher Motors Limited,505200,0.12,4834.3,401602,2024-07-10,10:36:13
3,AIAENG,Aia Engineering Limited,532683,-3.08,4271.55,23002,2024-07-10,10:36:13
4,CAMS,Computer Age Management Services Ltd,543232,4.73,4176.35,1073962,2024-07-10,10:36:13
5,PIDILITIND,Pidilite Industries Limited,500331,0.91,3142.25,223571,2024-07-10,10:36:13
6,TEGA,Tega Industries Ltd,543413,-2.13,1805.9,46538,2024-07-10,10:36:13
7,CAPLIPOINT,Caplin Point Laboratories Limited,524742,-1.41,1488.0,176708,2024-07-10,10:36:13
8,GESHIP,The Great Eastern Shipping Company Limited,500620,-3.76,1336.85,611809,2024-07-10,10:36:13
9,METROBRAND,Metro Brands Ltd,543426,2.69,1309.45,190160,2024-07-10,10:36:13
10,GPIL,Godawari Power And Ispat Limited,532734,-3.95,1110.0,214596,2024-07-10,10:36:13
11,MARICO,Marico Limited,531642,-0.31,635.85,494320,2024-07-10,10:36:13
12,SHANTIGEAR,Shanthi Gears Limited,522034,-3.54,634.75,45709,2024-07-10,10:36:13
13,ITC,Itc Limited,500875,-0.84,448.8,3731618,2024-07-10,10:36:13
14,BAJAJCON,Bajaj Consumer Care Ltd,533229,-2.08,266.05,160241,2024-07-10,10:36:13
15,LLOYDSENGG,Lloyds Engineering Works Ltd,539992,-3.4,83.05,8389629,2024-07-10,10:36:13
6,ROLEXRINGS,Rolex Rings Ltd,543325,5.33,2528.0,199512,2024-07-10,10:36:37
15,BLS,Bls International Services Limited,540073,0.69,380.05,5640386,2024-07-10,10:36:37
