sr,nsecode,name,bsecode,per_chg,close,volume,date,time
1,FORCEMOT,Force Motors Ltd,500033.0,-1.24,8377.8,3203,2024-07-10,10:36:14
2,TATAELXSI,Tata Elxsi Limited,500408.0,0.86,7077.15,83971,2024-07-10,10:36:14
3,NUVAMA,Nuvama Wealth Management Ltd,543988.0,-2.48,4778.4,14925,2024-07-10,10:36:14
4,TITAN,Titan Company Limited,500114.0,-0.28,3206.1,450888,2024-07-10,10:36:14
5,GLAXO,Glaxosmithkline Pharmaceuticals Limited,500660.0,-0.32,2548.5,32212,2024-07-10,10:36:14
6,ROLEXRINGS,Rolex Rings Ltd,543325.0,4.44,2506.45,198501,2024-07-10,10:36:14
7,ANGELONE,Angel One Ltd,,0.06,2243.4,517195,2024-07-10,10:36:14
8,MANKIND,Mankind Pharma Ltd,543904.0,2.25,2149.8,1147974,2024-07-10,10:36:14
9,NILKAMAL,Nilkamal Limited,523385.0,-0.2,1911.2,5753,2024-07-10,10:36:14
10,AAVAS,AAVAS Financiers Ltd,541988.0,-0.52,1790.95,50370,2024-07-10,10:36:14
11,CYIENT,Cyient Limited,532175.0,-0.45,1788.7,63983,2024-07-10,10:36:14
12,PRESTIGE,Prestige Estates Projects Limited,533274.0,-0.44,1774.6,179855,2024-07-10,10:36:14
13,OBEROIRLTY,Oberoi Realty Limited,533273.0,-0.56,1708.1,406203,2024-07-10,10:36:14
14,RADICO,Radico Khaitan Limited,532497.0,-1.18,1660.1,28977,2024-07-10,10:36:14
15,TTKHLTCARE,Ttk Healthcare Limited,507747.0,0.53,1443.2,1546,2024-07-10,10:36:14
16,CHEVIOT,Cheviot Company Ltd,526817.0,-0.93,1385.0,1769,2024-07-10,10:36:14
17,BRIGADE,Brigade Enterprises Limited,532929.0,2.35,1325.75,133743,2024-07-10,10:36:14
18,MACPOWER,Macpower CNC Machines Ltd,535057.0,2.82,1304.0,8879,2024-07-10,10:36:14
19,MANYAVAR,Vedant Fashions Ltd,543463.0,-0.89,1044.3,44099,2024-07-10,10:36:14
20,CONTROLPR,Control Print Limited,522295.0,-0.17,812.3,4504,2024-07-10,10:36:14
21,RAMCOCEM,The Ramco Cements Limited,500260.0,-2.3,788.7,222548,2024-07-10,10:36:14
22,BIKAJI,Bikaji Foods International Ltd,543653.0,0.87,693.05,105225,2024-07-10,10:36:14
23,AUBANK,AU Small Finance Bank,540611.0,-1.84,628.3,1998139,2024-07-10,10:36:14
24,RHIM,RHI Magnesita India Ltd,534076.0,-0.71,608.1,49318,2024-07-10,10:36:14
25,GREENLAM,Greenlam Industries Limited,538979.0,-1.7,571.15,7386,2024-07-10,10:36:14
26,URAVI,Uravi T and Wedge Lamps Ltd,535061.0,-0.32,560.0,461,2024-07-10,10:36:14
27,GRAPHITE,Graphite India Limited,509488.0,-1.08,556.2,287783,2024-07-10,10:36:14
28,HERITGFOOD,Heritage Foods Limited,519552.0,-1.05,541.45,576187,2024-07-10,10:36:14
29,MEDIASSIST,Medi Assist Healthcare Services Ltd,544088.0,1.62,537.25,140110,2024-07-10,10:36:14
