sr,nsecode,name,bsecode,per_chg,close,volume,date,time
1,BRITANNIA,Britannia Industries Limited,500825,1.43,5749.9,166125,2024-07-10,10:36:12
2,JBMA,Jbm Auto Limited,532605,-3.33,2210.65,157084,2024-07-10,10:36:12
3,POLYMED,Poly Medicure Limited,531768,0.22,2148.75,74704,2024-07-10,10:36:12
4,CAPLIPOINT,Caplin Point Laboratories Limited,524742,-1.26,1490.4,178891,2024-07-10,10:36:12
5,AFFLE,Affle India Ltd,542752,-1.53,1391.0,285329,2024-07-10,10:36:12
6,GESHIP,The Great Eastern Shipping Company Limited,500620,-3.8,1336.25,616464,2024-07-10,10:36:12
7,GPIL,Godawari Power And Ispat Limited,532734,-3.79,1111.8,218595,2024-07-10,10:36:12
8,FIVESTAR,Five Star Business Finance Ltd,,2.34,814.65,379617,2024-07-10,10:36:12
9,EMAMILTD,Emami Limited,531162,-0.82,770.65,629391,2024-07-10,10:36:12
10,RVNL,Rail Vikas Nigam Ltd,542649,6.49,578.0,91856783,2024-07-10,10:36:12
11,BLS,Bls International Services Limited,540073,0.69,380.05,5640386,2024-07-10,10:36:12
12,FSL,Firstsource Solutions Limited,532809,-3.86,239.17,2122779,2024-07-10,10:36:12
13,CESC,Cesc Limited,500084,-0.54,180.96,9432162,2024-07-10,10:36:12
14,WELSPUNLIV,Welspun Living Ltd,514162,-0.31,160.13,3041336,2024-07-10,10:36:12
